# mG mQ mQ3 mN1
1000 1000 500 490
1000 1000 500 482
1000 1000 500 469
1000 1000 500 446
1000 1000 500 406
1000 1000 500 336
1000 1000 500 214
1000 1000 500 1
1000 1000 610 600
1000 1000 610 592
1000 1000 610 577
1000 1000 610 552
1000 1000 610 505
1000 1000 610 421
1000 1000 610 271
1000 1000 610 1
1000 1000 744 734
1000 1000 744 727
1000 1000 744 715
1000 1000 744 694
1000 1000 744 658
1000 1000 744 596
1000 1000 744 491
1000 1000 744 310
1000 1000 744 1
1000 1000 908 898
1000 1000 908 892
1000 1000 908 881
1000 1000 908 863
1000 1000 908 834
1000 1000 908 786
1000 1000 908 706
1000 1000 908 575
1000 1000 908 358
1000 1000 908 1
1000 1000 1108 990
1000 1000 1108 983
1000 1000 1108 972
1000 1000 1108 953
1000 1000 1108 922
1000 1000 1108 870
1000 1000 1108 784
1000 1000 1108 640
1000 1000 1108 400
1000 1000 1108 1
1000 1000 1353 990
1000 1000 1353 983
1000 1000 1353 972
1000 1000 1353 953
1000 1000 1353 922
1000 1000 1353 870
1000 1000 1353 784
1000 1000 1353 640
1000 1000 1353 400
1000 1000 1353 1
1000 1000 1651 990
1000 1000 1651 983
1000 1000 1651 972
1000 1000 1651 953
1000 1000 1651 922
1000 1000 1651 870
1000 1000 1651 784
1000 1000 1651 640
1000 1000 1651 400
1000 1000 1651 1
1000 1000 2014 990
1000 1000 2014 983
1000 1000 2014 972
1000 1000 2014 953
1000 1000 2014 922
1000 1000 2014 870
1000 1000 2014 784
1000 1000 2014 640
1000 1000 2014 400
1000 1000 2014 1
1000 1000 2458 990
1000 1000 2458 983
1000 1000 2458 972
1000 1000 2458 953
1000 1000 2458 922
1000 1000 2458 870
1000 1000 2458 784
1000 1000 2458 640
1000 1000 2458 400
1000 1000 2458 1
1000 1000 3000 990
1000 1000 3000 983
1000 1000 3000 972
1000 1000 3000 953
1000 1000 3000 922
1000 1000 3000 870
1000 1000 3000 784
1000 1000 3000 640
1000 1000 3000 400
1000 1000 3000 1
1000 1129 500 490
1000 1129 500 482
1000 1129 500 469
1000 1129 500 446
1000 1129 500 406
1000 1129 500 336
