# Combined results from the directory /RESULTS/primary/QqN1/results/
# M1	M2	r
400	120	11.3358475674
400	60	13.5429284632
400	0	14.1746474074
400	132	10.769561907
400	144	10.7266710893
400	12	14.0671977557
400	72	13.1476746836
400	156	10.1220629115
400	168	9.53061118066
400	24	13.8523160323
400	84	13.0102153928
400	36	13.7062100726
400	96	12.5163109032
400	48	13.4355141164
400	108	11.9538687036
580	660	0.0
496	576	0.0
496	516	0.0
496	696	0.0
496	636	0.0
580	600	0.0
580	672	0.0
580	612	0.0
556	636	0.0
556	696	0.0
556	576	0.0
496	648	0.0
544	684	0.0
544	564	0.0
580	684	0.0
496	588	0.0
496	528	0.0
544	624	0.0
580	624	0.0
436	576	0.0
448	468	0.0
436	516	0.0
448	648	0.0
436	696	0.0
436	636	0.0
448	588	0.0
436	456	0.0
448	528	0.0
556	648	0.0
556	588	0.0
568	588	0.0
592	612	0.0
592	672	0.0
568	648	0.0
580	696	0.0
580	636	0.0
544	636	0.0
544	576	0.0
544	696	0.0
400	480	0.0
400	660	0.0
400	420	0.0
400	600	0.0
400	540	0.0
556	600	0.0
556	660	0.0
412	492	0.0
412	612	0.0
412	552	0.0
592	624	0.0
592	684	0.0
424	504	0.0
412	432	0.0
424	564	0.0
568	660	0.0
568	600	0.0
424	624	0.0
412	672	0.0
424	684	0.0
424	444	0.0
496	600	0.0
496	660	0.0
496	540	0.0
580	648	0.0
472	672	0.0
544	648	0.0
544	588	0.0
472	492	0.0
460	600	0.0
460	660	0.0
484	624	0.0
460	480	0.0
472	612	0.0
484	564	0.0
472	552	0.0
484	684	0.0
484	504	0.0
460	540	0.0
592	636	0.0
592	696	0.0
556	672	0.0
556	612	0.0
568	612	0.0
568	672	0.0
544	600	0.0
544	660	0.0
496	612	0.0
496	672	0.0
496	552	0.0
592	648	0.0
556	684	0.0
556	624	0.0
568	624	0.0
568	684	0.0
544	672	0.0
544	612	0.0
592	660	0.0
568	696	0.0
568	636	0.0
436	528	0.0
448	660	0.0
448	480	0.0
436	468	0.0
436	588	0.0
448	600	0.0
436	648	0.0
448	540	0.0
496	684	0.0
496	624	0.0
496	564	0.0
424	576	0.0
400	552	0.0
400	612	0.0
412	504	0.0
412	564	0.0
400	432	0.0
412	684	0.0
400	492	0.0
400	672	0.0
412	624	0.0
412	444	0.0
424	696	0.0
424	456	0.0
424	636	0.0
424	516	0.0
472	504	0.0
460	672	0.0
472	684	0.0
460	612	0.0
484	576	0.0
472	564	0.0
484	696	0.0
484	636	0.0
460	492	0.0
460	552	0.0
472	624	0.0
484	516	0.0
436	600	0.0
436	480	0.0
436	660	0.0
436	540	0.0
448	672	0.0
448	552	0.0
448	612	0.0
448	492	0.0
436	552	0.0
436	612	0.0
448	564	0.0
448	684	0.0
436	672	0.0
448	504	0.0
436	492	0.0
448	624	0.0
400	624	0.0
412	576	0.0
400	504	0.0
400	684	0.0
400	444	0.0
400	564	0.0
412	636	0.0
424	588	0.0
424	468	0.0
412	516	0.0
424	648	0.0
412	696	0.0
412	456	0.0
424	528	0.0
460	504	0.0
484	648	0.0
472	636	0.0
484	528	0.0
472	696	0.0
460	564	0.0
484	588	0.0
472	576	0.0
472	516	0.0
460	684	0.0
460	624	0.0
448	576	0.0
436	684	0.0
436	624	0.0
448	516	0.0
436	504	0.0
448	636	0.0
448	696	0.0
436	564	0.0
412	588	0.0
400	636	0.0
424	600	0.0
424	660	0.0
412	648	0.0
400	516	0.0
400	456	0.0
400	576	0.0
424	540	0.0
412	468	0.0
412	528	0.0
400	696	0.0
424	480	0.0
472	588	0.0
460	636	0.0
484	660	0.0
460	696	0.0
472	648	0.0
484	600	0.0
460	516	0.0
460	576	0.0
484	540	0.0
472	528	0.0
424	552	0.0
472	660	0.0
484	672	0.0
412	660	0.0
460	528	0.0
472	600	0.0
400	468	0.0
412	480	0.0
400	588	0.0
484	552	0.0
484	612	0.0
472	540	0.0
460	648	0.0
460	588	0.0
424	612	0.0
412	600	0.0
400	648	0.0
412	540	0.0
424	672	0.0
400	528	0.0
424	492	0.0
604	0	9.08267473555
592	552	1.39801086409
592	492	1.75972572386
592	432	2.08394264044
592	132	7.05331912872
592	192	5.28557626789
592	372	2.60523530333
592	252	5.19282934388
592	12	9.14620593858
592	312	4.00217442776
592	72	8.39917561398
592	0	9.17876056939
580	540	1.58096877039
580	480	1.92740542861
580	420	2.16567424677
580	360	2.79939539722
580	300	4.2059993781
580	180	5.31492664144
580	240	5.78942408033
580	0	9.25626395806
580	60	8.61611012161
580	120	7.38925816885
568	528	1.71444612724
568	468	2.13388801989
568	408	2.15432398692
568	288	4.53324608761
568	348	3.10795516521
568	228	6.2970841786
568	168	5.63792729424
568	48	8.95399866501
568	108	7.57818597485
568	0	9.14776372731
556	396	2.28607878325
556	516	1.81408412601
556	336	3.33649431669
556	276	4.92035166961
556	216	6.38670675494
556	96	7.84455861291
556	456	2.35881477343
556	156	6.15124717272
556	36	8.88578622889
556	0	9.1958079776
544	504	2.05216495972
544	444	2.44977127899
544	384	2.39973832931
544	324	3.72636842594
544	264	5.23966869653
544	204	6.48061261609
544	144	6.14814653612
544	84	8.06450909203
604	12	9.13693094635
592	564	1.23795566828
592	504	1.86166877858
592	444	1.83900773752
592	384	2.52932084151
592	204	4.77126383646
592	324	3.64156830103
592	264	4.95440431483
592	144	6.56582781516
592	84	8.2752215229
592	24	9.16170806722
580	552	1.4160633102
580	492	1.97276064852
580	432	2.1475075917
580	372	2.71917081501
580	312	4.42695759767
580	252	5.19282368116
580	192	5.03840687257
580	72	8.29845308371
580	12	9.32757931073
580	132	6.92019760647
568	540	1.42960896476
508	48	8.42706653508
568	480	2.01586521636
568	420	2.24063682027
508	0	8.85014230857
568	360	3.16295311195
568	300	4.40146361095
568	240	5.98134900757
568	60	8.66261860145
568	180	5.32884280138
568	120	7.37224053988
568	12	9.14311310786
496	456	2.94617487365
496	336	3.45495152812
496	276	4.90757005764
556	528	1.63976873359
496	396	3.46636873763
556	408	2.38609810228
592	576	0.812982746525
556	348	3.24335547091
496	216	6.82222307604
556	288	4.50347822145
556	468	2.37472957142
556	168	5.72139208401
556	228	6.02826308927
496	156	8.61404550831
556	108	7.40939077336
592	516	1.7823725996
556	48	8.77264264254
556	12	9.32603377994
592	456	1.80275832972
592	396	2.30601879204
592	336	3.79848153513
592	276	4.64805928155
592	216	4.48107663703
592	156	6.37244026825
592	96	7.93595087558
592	36	8.96019137579
544	516	1.75745813582
544	456	2.5544259135
580	564	0.887201406276
544	396	2.44749677781
544	336	3.52711622022
544	276	4.93737025458
580	504	1.88433165062
544	216	6.40377316076
544	156	5.84815536455
580	444	1.99998066819
544	96	7.83835357476
580	384	2.56305328167
580	324	3.8493871815
580	264	5.35468480141
580	204	4.72803082723
580	24	9.10434096077
580	84	8.21169009563
580	144	6.5611789356
568	552	0.95297723437
568	492	2.07259574314
592	588	0.944391351175
592	600	0.0
568	432	2.35199785288
568	372	2.70229134719
568	312	4.11681578062
568	252	5.2226459111
568	72	8.50145242122
568	192	7.02303645047
592	528	1.82314735822
568	132	6.80104057015
568	24	8.95554869721
592	468	1.90473540589
592	408	1.87753382346
592	348	3.39155052406
592	288	4.47372171056
592	228	5.83207194707
592	168	5.89145744342
592	48	8.97879191066
592	108	7.57972827948
556	540	1.05899158843
556	420	2.3679087795
556	300	4.49922677544
556	360	2.95149894559
580	576	0.984468378142
580	588	0.0
556	480	2.3565413406
556	180	7.60433573493
556	240	6.03252896356
556	120	7.03474014014
556	60	8.33254424881
556	24	9.0562911721
580	516	1.7642528402
580	456	1.85260187174
580	396	2.48294428661
580	336	3.35766576626
580	276	4.81821668411
580	216	6.07518634025
580	36	8.89043152449
580	156	6.11412625855
580	96	7.95607929808
544	528	1.19685071201
568	564	0.944392133936
568	576	0.0
544	468	2.44522230269
544	408	2.55897731334
592	540	1.57192738018
544	348	3.18410163355
508	60	8.25043178992
544	288	4.46946265029
568	504	1.97276443492
544	228	6.2031827372
592	480	1.92287280794
544	168	8.04486997045
544	108	7.39544648913
592	420	1.8458056377
508	12	8.85169224219
592	360	3.03182562934
568	444	2.22700556787
592	240	5.47399278006
592	300	3.89606667561
592	180	5.52663862978
568	384	2.47451896784
592	60	8.72925218737
592	120	7.14619835117
568	324	3.73061919318
568	264	5.09063534298
568	84	8.23649480919
568	204	6.91195673162
496	468	2.63863825116
568	144	6.29974131654
568	36	9.05165348976
496	348	3.44581804354
496	408	3.4321182907
496	288	4.5119687091
556	552	1.31197788503
556	564	0.0
580	528	1.71670647439
580	468	2.01586134723
580	408	1.91380172134
556	432	2.27698883041
580	348	3.24758653842
580	288	4.46096370524
496	228	6.4635261896
580	228	6.03679174157
556	372	2.61788974329
556	312	3.73061396639
580	48	8.76643867758
580	168	5.71829739278
556	492	2.00905617444
580	108	7.76401452965
