&Topology&Total&(5,$-m_{1/2}$,-1)&(5,$-m_{1/2}$,1)&(5,0,-1)&(5,0,1)&(40,$-m_{1/2}$,-1)&(40,$-m_{1/2}$,1)&(40,0,-1)&(40,0,1)\\
1&C1wN1_N2hN1& 14.33\% & 2.7\% & 29.13\% & 2.7\% & 31.55\% & 20.54\% & 19.95\% & 10.78\% & 9.56\% \\
2&C1wN1_C1wN1& 11.08\% & 11.02\% & 14.79\% & 12.19\% & 16.02\% & 13.24\% & 12.38\% & 7.22\% & 6.62\% \\
3&C1wN1_N2zN1& 7.88\% & 19.46\% & 0.95\% & 21.87\% & 1.12\% & 6.06\% & 4.83\% & 3.56\% & 3.07\% \\
4&C1qqN1_C1qqN1& 1.77\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 1.56\% & 1.57\% & 4.33\% & 4.63\% \\
5&C1qqN1_N2qqN1& 1.58\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 1.47\% & 1.33\% & 3.93\% & 4.08\% \\
6&QqC1wN1_QqC1wN1& 0.87\% & 2.47\% & 1.44\% & 1.75\% & 0.72\% & 0.13\% & 0.28\% & 0.06\% & 0.09\% \\
7&GbtC1wN1_GttN1& 0.76\% & 1.26\% & 1.44\% & 1.26\% & 1.43\% & 0.38\% & 0.38\% & 0.15\% & 0.14\% \\
8&GqqC1wN1_GqqC1wN1& 0.63\% & 0.97\% & 1.29\% & 1.11\% & 1.48\% & 0.18\% & 0.2\% & 0.06\% & 0.07\% \\
9&C1enN1_C1qqN1& 0.59\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.52\% & 0.52\% & 1.44\% & 1.54\% \\
10&C1mnN1_C1qqN1& 0.59\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.52\% & 0.52\% & 1.44\% & 1.54\% \\
11&C1wN1_N3zN1& 0.58\% & 0.0\% & 0.0\% & 0.0\% & 0.01\% & 1.0\% & 1.07\% & 1.14\% & 1.15\% \\
12&QqC1wN1_QqN2zN1& 0.54\% & 2.43\% & 0.04\% & 1.41\% & 0.02\% & 0.02\% & 0.03\% & 0.01\% & 0.01\% \\
13&GbtC1wN1_GbtC1wN1& 0.51\% & 0.64\% & 0.75\% & 0.69\% & 0.81\% & 0.51\% & 0.46\% & 0.25\% & 0.22\% \\
14&GqqC1wN1_GqqN1& 0.39\% & 0.61\% & 0.79\% & 0.7\% & 0.9\% & 0.12\% & 0.13\% & 0.04\% & 0.05\% \\
15&C1qqN1_N2bbN1& 0.39\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.39\% & 0.35\% & 0.95\% & 0.98\% \\
16&GqqC1wN1_GqqN2hN1& 0.37\% & 0.19\% & 1.25\% & 0.13\% & 1.42\% & 0.14\% & 0.17\% & 0.05\% & 0.06\% \\
17&GttN1_GttN1& 0.34\% & 0.65\% & 0.7\% & 0.59\% & 0.64\% & 0.08\% & 0.1\% & 0.03\% & 0.03\% \\
18&QqC1wN1_QqN2hN1& 0.34\% & 0.06\% & 1.39\% & 0.36\% & 0.7\% & 0.11\% & 0.26\% & 0.05\% & 0.08\% \\
19&GqqN1_GttN1& 0.28\% & 0.49\% & 0.57\% & 0.5\% & 0.59\% & 0.08\% & 0.09\% & 0.03\% & 0.03\% \\
20&GqqC1wN1_GqqN2zN1& 0.26\% & 0.78\% & 0.04\% & 0.99\% & 0.05\% & 0.04\% & 0.03\% & 0.01\% & 0.01\% \\
21&GqQqN1_QqC1wN1& 0.22\% & 0.8\% & 0.31\% & 0.47\% & 0.12\% & 0.0\% & 0.01\% & 0.0\% & 0.01\% \\
22&C1qqN1_N3qqN1& 0.22\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.27\% & 0.47\% & 0.57\% & 0.35\% \\
23&N2zN1_N3zN1& 0.14\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.26\% & 0.3\% & 0.26\% & 0.23\% \\
24&QqN2zN1_QqN2zN1& 0.12\% & 0.6\% & 0.0\% & 0.29\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
25&C1mnN1_N2nnN1& 0.1\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.09\% & 0.09\% & 0.25\% & 0.26\% \\
26&C1enN1_N2nnN1& 0.1\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.09\% & 0.09\% & 0.25\% & 0.26\% \\
27&C1ntaN1_N2nnN1& 0.1\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.09\% & 0.08\% & 0.24\% & 0.25\% \\
28&C1enN1_C1ntaN1& 0.09\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.09\% & 0.09\% & 0.23\% & 0.24\% \\
29&T1bC1wN1_T1bC1wN1& 0.08\% & 0.3\% & 0.22\% & 0.05\% & 0.03\% & 0.01\% & 0.02\% & 0.0\% & 0.01\% \\
30&GbbN1_GbtC1wN1& 0.07\% & 0.07\% & 0.1\% & 0.08\% & 0.11\% & 0.09\% & 0.07\% & 0.04\% & 0.03\% \\
31&GqqN1_GqqN1& 0.06\% & 0.1\% & 0.12\% & 0.11\% & 0.14\% & 0.02\% & 0.02\% & 0.01\% & 0.01\% \\
32&C1qqN1_N3bbN1& 0.06\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.07\% & 0.13\% & 0.15\% & 0.09\% \\
33&GbbN1_GttN1& 0.05\% & 0.07\% & 0.09\% & 0.07\% & 0.09\% & 0.04\% & 0.04\% & 0.02\% & 0.02\% \\
34&GqqN2zN1_GqqN2zN1& 0.05\% & 0.16\% & 0.0\% & 0.22\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
35&C1enN1_C1enN1& 0.05\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.04\% & 0.04\% & 0.12\% & 0.13\% \\
36&C1mnN1_C1mnN1& 0.05\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.04\% & 0.04\% & 0.12\% & 0.13\% \\
37&C1ntaN1_C1ntaN1& 0.05\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.04\% & 0.04\% & 0.11\% & 0.12\% \\
38&N2qqN1_N3qqN1& 0.04\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.06\% & 0.1\% & 0.1\% & 0.07\% \\
39&T1bC1wN1_T1tN1& 0.03\% & 0.13\% & 0.1\% & 0.02\% & 0.02\% & 0.0\% & 0.01\% & 0.0\% & 0.0\% \\
